Validity: 98.60000 % | Diversity: 21.40000 % | Reconstruction: 67.77271 %
Validity: 99.00000 % | Diversity: 25.80000 % | Reconstruction: 73.07397 %
Validity: 97.60000 % | Diversity: 24.60000 % | Reconstruction: 78.11377 %
Validity: 96.00000 % | Diversity: 25.80000 % | Reconstruction: 78.20972 %
Validity: 96.10000 % | Diversity: 25.60000 % | Reconstruction: 78.59058 %
Validity: 95.90000 % | Diversity: 26.30000 % | Reconstruction: 78.73071 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.50342 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.58423 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60596 %
Validity: 95.70000 % | Diversity: 24.20000 % | Reconstruction: 78.81201 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75366 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72266 %
Validity: 96.70000 % | Diversity: 25.40000 % | Reconstruction: 79.01099 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63696 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85400 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71631 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76343 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.66309 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82275 %
Validity: 96.60000 % | Diversity: 25.00000 % | Reconstruction: 79.01929 %
Validity: 98.00000 % | Diversity: 25.40000 % | Reconstruction: 79.02051 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69336 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.78760 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.90283 %
Validity: 98.20000 % | Diversity: 24.10000 % | Reconstruction: 79.26929 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.22290 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.13135 %
Validity: 98.30000 % | Diversity: 25.50000 % | Reconstruction: 79.28784 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81372 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07446 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94678 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08813 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.24854 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03931 %
Validity: 98.40000 % | Diversity: 26.50000 % | Reconstruction: 79.32715 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.08911 %
