Validity: 63.30000 % | Diversity: 32.80000 % | Reconstruction: 77.92277 %
Validity: 58.70000 % | Diversity: 31.70000 % | Reconstruction: 78.44954 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.04985 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.18738 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 77.84062 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.17046 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.30862 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.10215 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.32985 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.09108 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.44923 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.20431 %
Validity: 56.80000 % | Diversity: 28.90000 % | Reconstruction: 78.53415 %
Validity: 56.00000 % | Diversity: 29.30000 % | Reconstruction: 78.66523 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.07138 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.57908 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.19108 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.54554 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.28831 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.23077 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.14554 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.26892 %
Validity: 55.10000 % | Diversity: 23.30000 % | Reconstruction: 78.82092 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73969 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.44954 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69385 %
Validity: 56.70000 % | Diversity: 22.40000 % | Reconstruction: 78.85046 %
Validity: 56.20000 % | Diversity: 22.10000 % | Reconstruction: 78.94308 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.45292 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87292 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73692 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67354 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59262 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.85692 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.51262 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.45785 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.32862 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.56800 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67046 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64308 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.30031 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62769 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70154 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.72154 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60585 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.29354 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.13415 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70277 %
