Validity: 46.10000 % | Diversity: 8.40000 % | Reconstruction: 65.28190 %
Validity: 52.00000 % | Diversity: 10.50000 % | Reconstruction: 65.79619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 65.63048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 65.60952 %
Validity: 61.90000 % | Diversity: 13.50000 % | Reconstruction: 66.15810 %
Validity: 64.30000 % | Diversity: 14.00000 % | Reconstruction: 66.41714 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 66.33524 %
Validity: 68.60000 % | Diversity: 15.60000 % | Reconstruction: 66.44571 %
Validity: 68.60000 % | Diversity: 16.30000 % | Reconstruction: 66.52952 %
Validity: 71.20000 % | Diversity: 15.50000 % | Reconstruction: 66.74476 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 66.33714 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 66.67429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 66.61333 %
Validity: 74.90000 % | Diversity: 19.80000 % | Reconstruction: 67.05714 %
Validity: 74.70000 % | Diversity: 19.00000 % | Reconstruction: 67.25714 %
Validity: 78.00000 % | Diversity: 20.30000 % | Reconstruction: 67.33143 %
Validity: 75.20000 % | Diversity: 18.80000 % | Reconstruction: 67.60952 %
Validity: 77.60000 % | Diversity: 19.30000 % | Reconstruction: 67.63048 %
Validity: 80.60000 % | Diversity: 18.00000 % | Reconstruction: 67.75238 %
Validity: 80.70000 % | Diversity: 17.60000 % | Reconstruction: 68.13714 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 68.09524 %
Validity: 79.40000 % | Diversity: 18.50000 % | Reconstruction: 68.77333 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 68.48952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 68.46857 %
Validity: 79.70000 % | Diversity: 20.60000 % | Reconstruction: 69.05905 %
