Validity: 55.50000 % | Diversity: 20.40000 % | Reconstruction: 63.40222 %
Validity: 66.50000 % | Diversity: 23.90000 % | Reconstruction: 67.61987 %
Validity: 87.40000 % | Diversity: 22.10000 % | Reconstruction: 72.85278 %
Validity: 86.30000 % | Diversity: 19.50000 % | Reconstruction: 77.33606 %
Validity: 84.50000 % | Diversity: 19.50000 % | Reconstruction: 78.16187 %
Validity: 84.40000 % | Diversity: 19.30000 % | Reconstruction: 78.42236 %
Validity: 88.30000 % | Diversity: 21.50000 % | Reconstruction: 78.43958 %
Validity: 90.20000 % | Diversity: 19.90000 % | Reconstruction: 78.50452 %
Validity: 88.40000 % | Diversity: 19.80000 % | Reconstruction: 78.71021 %
Validity: 89.60000 % | Diversity: 20.60000 % | Reconstruction: 78.83240 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.73865 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.64282 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60486 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.66614 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.67908 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.63574 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.59875 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.71948 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69031 %
Validity: 91.30000 % | Diversity: 20.70000 % | Reconstruction: 78.85229 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.65393 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.69104 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.60168 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.68494 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.76794 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.75415 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.74683 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.62769 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.61951 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80542 %
Validity: 93.10000 % | Diversity: 20.20000 % | Reconstruction: 78.86206 %
Validity: 91.10000 % | Diversity: 20.70000 % | Reconstruction: 79.04138 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81250 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.77783 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.79565 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80444 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.89832 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.80737 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.87939 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.83276 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.70081 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94458 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.86597 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.82202 %
Validity: 93.40000 % | Diversity: 20.60000 % | Reconstruction: 79.04590 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94958 %
Validity: 92.60000 % | Diversity: 20.40000 % | Reconstruction: 79.13379 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.91724 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.04724 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.93042 %
Validity: 92.30000 % | Diversity: 19.90000 % | Reconstruction: 79.16638 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10828 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07898 %
Validity: 93.30000 % | Diversity: 20.90000 % | Reconstruction: 79.19751 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10522 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.03137 %
Validity: 94.10000 % | Diversity: 20.50000 % | Reconstruction: 79.25659 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.02026 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.99170 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00098 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97131 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.81909 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.10950 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.21082 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.97351 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.92261 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95117 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.18091 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.22217 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.00085 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.94189 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.22437 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.95020 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96814 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.07874 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 78.96057 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 79.20593 %
