Epoch	Value
0	3.501398
1	1.454663
2	1.252121
3	1.041942
4	0.928580
5	0.895647
6	0.878679
7	0.869311
8	0.863301
9	0.858838
10	0.855582
11	0.853097
12	0.850466
13	0.848966
14	0.847289
15	0.846013
16	0.844478
17	0.843668
18	0.842439
19	0.841543
20	0.841127
21	0.839968
22	0.839334
23	0.838650
24	0.837792
25	0.837356
26	0.836773
27	0.836390
28	0.835866
29	0.834939
30	0.835078
31	0.834671
32	0.833990
33	0.833602
34	0.833398
35	0.832652
36	0.832566
37	0.832230
38	0.832119
39	0.831604
40	0.831504
41	0.830935
42	0.830608
43	0.830036
44	0.829848
45	0.830055
46	0.829418
47	0.829294
48	0.828834
49	0.828767
50	0.828331
51	0.827601
52	0.827553
53	0.827253
54	0.827376
55	0.827262
56	0.826771
57	0.826513
58	0.826421
59	0.826256
60	0.825764
61	0.825670
62	0.825156
63	0.824985
64	0.825022
65	0.825208
66	0.824620
67	0.824344
68	0.824063
69	0.824056
70	0.823303
71	0.823451
72	0.823257
73	0.822943
74	0.822954
75	0.822724
76	0.822433
77	0.821987
