Epoch	Value
0	3.501403
1	1.454692
2	1.252185
3	1.042086
4	0.928885
5	0.896135
6	0.879320
7	0.870087
8	0.864167
9	0.859753
10	0.856535
11	0.854085
12	0.851486
13	0.850018
14	0.848368
15	0.847119
16	0.845606
17	0.844820
18	0.843610
19	0.842734
20	0.842339
21	0.841198
22	0.840580
23	0.839911
24	0.839068
25	0.838647
26	0.838076
27	0.837706
28	0.837195
29	0.836278
30	0.836430
31	0.836033
32	0.835362
33	0.834983
34	0.834788
35	0.834050
36	0.833973
37	0.833645
38	0.833543
39	0.833036
40	0.832942
41	0.832379
42	0.832058
43	0.831491
44	0.831309
45	0.831523
46	0.830892
47	0.830772
48	0.830316
49	0.830254
50	0.829821
51	0.829096
52	0.829051
53	0.828754
54	0.828882
55	0.828772
56	0.828284
57	0.828029
58	0.827939
59	0.827777
60	0.827287
61	0.827195
62	0.826683
63	0.826514
64	0.826554
65	0.826743
66	0.826156
67	0.825880
68	0.825600
69	0.825595
70	0.824843
71	0.824994
72	0.824800
73	0.824486
74	0.824497
75	0.824267
76	0.823976
77	0.823531
